match_id,competition_id
3878599,12
3878598,12
3878597,12
3878596,12
3878595,12
3878594,12
3878593,12
3878592,12
3878558,12
3878557,12
3878556,12
3878555,12
3878554,12
3878553,12
3878552,12
3878551,12
3878550,12
3878549,12
3878548,12
3878547,12
3878546,12
3878545,12
3878544,12
3878543,12
3878542,12
3878541,12
3878540,12
3889182,12
3827767,1238
3827335,1238
3827336,1238
3827338,1238
3827337,1238
3817856,1238
3817891,1238
3817870,1238
3817899,1238
3817866,1238
3817889,1238
3817887,1238
3817872,1238
3817900,1238
3817855,1238
3817863,1238
3817877,1238
3817901,1238
3817880,1238
3817902,1238
3817862,1238
3817873,1238
3817869,1238
3817881,1238
3817895,1238
3817884,1238
3817896,1238
3817852,1238
3817883,1238
3817886,1238
3817864,1238
3817882,1238
3817894,1238
3817871,1238
3817861,1238
3817888,1238
3817875,1238
3817868,1238
3817867,1238
3813313,1238
3817890,1238
3813302,1238
3817857,1238
3817898,1238
3817893,1238
3817854,1238
3817892,1238
3817859,1238
3817858,1238
3817897,1238
3817885,1238
3817878,1238
3817876,1238
3813305,1238
3813266,1238
3813271,1238
3813311,1238
3813303,1238
3813304,1238
3813306,1238
3813283,1238
3813275,1238
3813278,1238
3813295,1238
3813296,1238
3813282,1238
3813269,1238
3817879,1238
3817874,1238
3817865,1238
3817860,1238
3817853,1238
3817851,1238
3817850,1238
3817849,1238
3817848,1238
3813318,1238
3813287,1238
3813270,1238
3813307,1238
3813279,1238
3813281,1238
3813274,1238
3813285,1238
3813317,1238
3813316,1238
3813315,1238
3813314,1238
3813312,1238
3813310,1238
3813309,1238
3813308,1238
3813301,1238
3813300,1238
3813299,1238
3813298,1238
3813297,1238
3813294,1238
3813293,1238
3813292,1238
3813291,1238
3813290,1238
3813289,1238
3813288,1238
3813286,1238
3813284,1238
3813280,1238
3813277,1238
3813276,1238
3813273,1238
3813272,1238
3813268,1238
3813267,1238
3813265,1238
3813264,1238
3888787,1470
18245,16
18244,16
18235,16
18236,16
18237,16
18240,16
18241,16
18242,16
18243,16
3888711,16
3888706,16
2302764,16
3750200,16
22912,16
3750201,16
3752619,16
3750235,16
3754058,2
3754245,2
3754136,2
3754037,2
3754039,2
3754041,2
3754042,2
3754043,2
3754045,2
3754048,2
3754049,2
3754050,2
3754052,2
3754053,2
3754055,2
3754226,2
3754014,2
3754091,2
3754135,2
3754293,2
3754339,2
3754146,2
3754347,2
3754255,2
3754278,2
3753979,2
3753972,2
