22102,Adriano Correia Claro,Adriano
3272,Oriol Romeu Vidal,Oriol Romeu
3294,Juan Manuel Mata García,Juan Mata
3461,Petr Čech,
3529,Daniel Andre Sturridge,Daniel Sturridge
3645,Gary Cahill,
3956,David Luiz Moreira Marinho,David Luiz
5475,John Michael Nchekwube Obinna,John Obi Mikel
6382,Fernando José Torres Sanz,Fernando Torres
8575,Salomon Armand Magloire Kalou,Salomon Kalou
12529,Ashley Cole,
19762,Paulo Renato Rebocho Ferreira,Paulo Ferreira
20018,José Bosingwa da Silva,José Bosingwa
20045,Ryan Bertrand,
20290,Florent Malouda,
20330,Frank Lampard,
20352,Didier Yves Drogba Tébily,Didier Drogba
27113,Michael Essien,
41006,Ross Turnbull,
5570,Manuel Neuer,
5578,Jérôme Boateng,
6191,Takashi Usami,
8209,Márcio Rafael Ferreira de Souza,Rafinha
8223,Franck Bilal Ribéry,Franck Ribéry
8941,Nils Petersen,
3197,Dante Bonfim da Costa Santos,Dante
3533,Xherdan Shaqiri,
3545,Luiz Gustavo Dias,Luiz Gustavo
5472,Mario Mandžukić,
8220,David Olatukunbo Alaba,David Alaba
9399,Javier Martínez Aginaga,Javi Martínez
11132,Claudio Miguel Pizarro Bossio,Claudio Pizarro
23567,Tom Starke,
4430,Neven Subotić,
5559,Marco Reus,
5572,Mats Hummels,
5658,Łukasz Piszczek,
5663,Jakub Błaszczykowski,
5668,Robert Lewandowski,
8216,Sven Bender,
8232,Nuri Şahin,
9475,Moritz Leitner,
10287,İlkay Gündoğan,
11131,Julian Schieber,
11458,Marcel Schmelzer,
12424,Roman Weidenfeller,
20665,Kevin Großkreutz,
37112,Mitchell James Langerak,Mitchell Langerak
38520,Sebastian Kehl,
41007,Oliver Kirch,
41008,Felipe Augusto Santana,Felipe Santana
2995,Ángel Fabián Di María Hernández,Ángel Di María
5207,Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo
5566,Sami Khedira,
11179,Iker Casillas Fernández,Iker Casillas
19047,Fábio Alexandre da Silva Coentrão,Fábio Coentrão
20016,Kléper Laveran Lima Ferreira,Pepe
