match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week
3893813,2023-07-28,14:00:00.000,1,0,available,available,2023-08-03T04:23:35.957774,2023-08-03T04:25:06.499967,2
3893810,2023-07-27,10:30:00.000,2,0,available,available,2023-08-18T14:28:14.691049,2023-08-18T14:30:26.614172,2
3893809,2023-07-27,13:00:00.000,2,3,available,available,2023-08-18T14:04:52.791946,2023-08-18T14:06:33.469348,2
3893807,2023-07-26,15:00:00.000,2,1,available,available,2023-07-27T10:58:05.416876,2023-07-27T20:58:19.075800,2
3893804,2023-07-25,11:00:00.000,0,0,available,available,2023-08-26T22:30:47.843134,2023-08-26T22:32:16.292630,2
3893788,2023-07-20,13:00:00.000,1,0,available,available,2023-08-04T15:33:59.340634,2023-08-04T15:35:05.088854,1
3893798,2023-07-23,13:00:00.000,0,0,available,available,2023-08-21T12:43:27.106146,2023-08-21T12:51:04.862518,1
3893789,2023-07-21,08:00:00.000,0,2,available,available,2023-08-05T10:25:42.521031,2023-08-05T10:26:26.483897,1
3893794,2023-07-22,12:30:00.000,1,0,available,available,2023-08-10T13:30:28.440227,2023-08-10T13:33:50.644811,1
3893792,2023-07-22,04:00:00.000,3,0,available,available,2023-08-05T05:44:37.442754,2023-08-05T05:44:59.434875,1
3893791,2023-07-21,10:30:00.000,3,0,available,available,2023-08-24T15:30:43.549537,2023-08-24T15:33:45.726341,1
3893787,2023-07-20,10:00:00.000,1,0,available,available,2023-08-01T12:35:43.246812,2023-08-01T12:37:30.380662,1
3893834,2023-08-03,13:00:00.000,1,0,available,available,2023-08-11T23:46:50.548193,2023-08-11T23:49:38.789986,3
3893833,2023-08-03,13:00:00.000,1,1,available,available,2023-08-04T21:33:56.230246,2023-08-04T21:36:34.605701,3
3893832,2023-08-02,13:00:00.000,0,0,available,available,2023-09-01T12:56:22.674442,2023-09-01T13:00:00.820326,3
3893831,2023-08-02,10:00:00.000,3,2,available,available,2023-08-20T18:23:47.195496,2023-08-20T18:28:16.175087,3
3893830,2023-08-02,10:00:00.000,0,2,available,available,2023-08-03T09:15:20.114944,2023-08-03T16:14:13.757734,3
3893829,2023-08-02,13:00:00.000,3,6,available,available,2023-08-25T19:09:25.824017,2023-08-25T19:12:57.829815,3
3893828,2023-08-01,14:00:00.000,1,6,available,available,2023-08-28T14:06:59.596832,2023-08-28T14:12:37.980904,3
3893827,2023-08-01,10:00:00.000,0,7,available,available,2023-09-01T12:34:19.705316,2023-09-01T12:35:45.762196,3
3893825,2023-08-01,14:00:00.000,0,2,available,available,2023-08-31T23:59:28.502195,2023-09-01T00:00:39.922431,3
3893824,2023-07-31,13:00:00.000,0,0,available,available,2023-08-02T08:41:01.453327,2023-08-06T07:33:55.431511,3
3893821,2023-07-31,13:00:00.000,0,4,available,available,2023-08-21T13:23:20.790676,2023-08-21T13:32:38.370713,3
3893820,2023-07-30,10:00:00.000,6,0,available,available,2023-08-12T03:15:44.809239,2023-08-12T03:16:08.877939,3
3893819,2023-07-30,07:30:00.000,0,1,available,available,2023-07-30T23:38:59.365461,2023-07-30T23:39:22.420917,2
3893818,2023-07-30,12:30:00.000,1,2,available,available,2023-08-25T16:03:29.227472,2023-08-25T16:06:34.832910,2
3893817,2023-07-30,10:00:00.000,0,0,available,available,2023-07-31T17:15:47.832645,2023-07-31T17:18:03.251164,3
3893816,2023-07-29,15:30:00.000,0,1,available,available,2023-08-21T14:28:43.104162,2023-08-21T14:33:06.577206,2
3893815,2023-07-29,13:00:00.000,2,1,available,available,2023-08-10T13:22:17.909730,2023-08-10T13:25:29.764380,2
3893805,2023-07-26,08:00:00.000,2,0,available,available,2023-08-05T11:31:42.240459,2023-08-05T11:34:33.214164,2
3893803,2023-07-25,08:30:00.000,0,1,available,available,2023-08-21T13:04:19.101690,2023-08-21T13:08:15.309035,2
3893802,2023-07-25,05:00:00.000,2,0,available,available,2023-08-14T12:24:32.484658,2023-08-14T12:28:53.852839,1
3893800,2023-07-24,09:00:00.000,1,0,available,available,2023-08-12T17:44:57.719395,2023-08-12T17:49:18.347307,1
3893799,2023-07-24,11:30:00.000,6,0,available,available,2023-08-21T14:27:48.144704,2023-08-21T14:33:45.142288,1
3893796,2023-07-23,08:00:00.000,2,1,available,available,2023-07-30T08:04:59.799077,2023-07-30T08:06:34.006738,1
3893795,2023-07-22,15:00:00.000,1,0,available,available,2023-08-16T06:04:10.017931,2023-08-16T06:06:04.857484,1
3893793,2023-07-22,10:00:00.000,0,5,available,available,2023-08-12T12:50:12.950377,2023-08-12T12:52:06.769558,1
22949,2019-06-12,18:00:00.000,1,0,available,scheduled,2023-07-24T21:46:41.279089,2021-06-13T16:17:31.694,2
22943,2019-06-11,21:00:00.000,13,0,available,scheduled,2023-07-24T21:45:44.511885,2021-06-13T16:17:31.694,1
22944,2019-06-11,18:00:00.000,0,2,available,scheduled,2023-07-25T05:54:25.449812,2021-06-13T16:17:31.694,1
22961,2019-06-14,15:00:00.000,2,1,available,scheduled,2023-07-25T01:31:48.171826,2021-06-13T16:17:31.694,2
22964,2019-06-15,15:00:00.000,3,1,available,scheduled,2023-07-25T01:26:49.537474,2021-06-13T16:17:31.694,2
68357,2019-06-22,21:00:00.000,1,1,available,scheduled,2023-02-14T15:13:53.163896,2021-06-13T16:17:31.694,4
22933,2019-06-09,13:00:00.000,1,2,available,scheduled,2023-02-14T14:30:22.346153,2021-06-13T16:17:31.694,1
22963,2019-06-14,18:00:00.000,0,5,available,scheduled,2022-07-13T20:21:27.033445,2021-06-13T16:17:31.694,2
68311,2019-06-18,21:00:00.000,1,4,available,scheduled,2023-07-25T01:30:55.023228,2021-06-13T16:17:31.694,3
22940,2019-06-10,18:00:00.000,0,0,available,scheduled,2023-07-27T10:33:48.273734,2021-06-13T16:17:31.694,1
22945,2019-06-12,15:00:00.000,2,0,available,scheduled,2023-04-07T09:00:52.515359,2021-06-13T16:17:31.694,2
22956,2019-06-13,21:00:00.000,0,1,available,scheduled,2023-07-24T21:40:47.383440,2021-06-13T16:17:31.694,2
22966,2019-06-15,21:00:00.000,2,0,available,scheduled,2023-07-25T05:52:37.454022,2021-06-13T16:17:31.694,2
